prompt_idx,n_positions,mean_accept_len
0,64,0.125
1,64,0.21875
2,64,0.078125
3,64,0.046875
4,64,0.03125
5,64,0.109375
6,64,0.078125
7,64,0.0625
8,64,0.078125
9,64,0.15625
OVERALL,640,0.0984
NLL_MEAN,10,2.6993
PPL,10,14.8691
