prompt_idx,n_rounds,mean_accept_len,spec_tokens,spec_time_s
0,40,0.600,64,5.633
1,37,0.784,66,2.522
2,39,0.641,64,2.884
3,39,0.641,64,2.672
4,50,0.280,64,3.390
5,34,0.912,65,2.392
6,40,0.600,64,2.712
7,45,0.467,66,3.121
8,35,0.829,64,2.414
9,39,0.641,64,2.645
OVERALL,398,0.6206,645,30.384
