prompt_idx,n_rounds,mean_accept_len,spec_tokens,spec_time_s
0,40,0.600,64,5.643
1,39,0.667,65,2.665
2,43,0.488,64,3.175
3,37,0.730,64,2.543
4,51,0.255,64,3.481
5,39,0.667,65,2.751
6,38,0.684,64,2.583
7,47,0.362,64,3.261
8,35,0.857,65,2.437
9,43,0.488,64,2.946
OVERALL,412,0.5607,643,31.485
