prompt_idx,n_positions,mean_accept_len
0,64,0.109375
1,64,0.09375
2,64,0.109375
3,64,0.140625
4,64,0.015625
5,64,0.09375
6,64,0.0625
7,64,0.078125
8,64,0.078125
9,64,0.203125
OVERALL,640,0.0984
NLL_MEAN,10,2.7302
PPL,10,15.3357
AGREE_FRAC,640,0.1922
MEAN_FIRST_DIV,10,10.0000
