prompt_idx,tokens,time_s,tps,spec_accept_length
0,64,0.247,259.37,
1,64,1.059,60.43,
2,64,0.251,255.44,
3,64,1.566,40.87,
4,64,1.168,54.79,
5,64,0.348,183.85,
6,64,0.247,258.68,
7,64,0.247,259.49,
8,64,0.254,251.53,
9,64,0.695,92.10,
OVERALL,640.0,6.082,105.230,
