prompt_idx,n_rounds,mean_accept_len,spec_tokens,spec_time_s
0,40,0.600,64,5.630
1,39,0.692,66,2.663
2,40,0.600,64,2.959
3,40,0.600,64,2.736
4,50,0.280,64,3.393
5,35,0.857,65,2.464
6,41,0.561,64,2.787
7,45,0.422,64,3.113
8,35,0.829,64,2.432
9,42,0.524,64,2.862
OVERALL,407,0.5799,643,31.041
