prompt_idx,n_positions,mean_accept_len
0,64,0.140625
1,64,0.1875
2,64,0.078125
3,64,0.0625
4,64,0.015625
5,64,0.09375
6,64,0.0625
7,64,0.078125
8,64,0.0625
9,64,0.140625
OVERALL,640,0.0922
NLL_MEAN,10,2.9075
PPL,10,18.3113
