prompt_idx,n_positions,mean_accept_len
0,64,0.140625
1,64,0.1875
2,64,0.09375
3,64,0.0625
4,64,0.109375
5,64,0.09375
6,64,0.0625
7,64,0.046875
8,64,0.09375
9,64,0.125
OVERALL,640,0.1016
NLL_MEAN,10,2.9007
PPL,10,18.1877
