prompt_idx,n_rounds,mean_accept_len,spec_tokens,spec_time_s
0,40,0.600,64,5.642
1,35,0.857,65,2.393
2,39,0.641,64,2.892
3,36,0.778,64,2.485
4,50,0.280,64,3.416
5,33,0.970,65,2.338
6,40,0.600,64,2.726
7,45,0.467,66,3.183
8,35,0.829,64,2.424
9,40,0.600,64,2.730
OVERALL,393,0.6387,644,30.231
