prompt_idx,n_positions,mean_accept_len
0,64,0.125
1,64,0.1875
2,64,0.109375
3,64,0.0625
4,64,0.046875
5,64,0.0625
6,64,0.0625
7,64,0.046875
8,64,0.078125
9,64,0.09375
OVERALL,640,0.0875
NLL_MEAN,10,2.8882
PPL,10,17.9613
