prompt_idx,n_positions,mean_accept_len
0,64,0.765625
1,64,1.015625
2,64,1.015625
3,64,0.84375
4,64,0.53125
5,64,0.984375
6,64,1.0625
7,64,0.515625
8,64,1.015625
9,64,0.625
OVERALL,640,0.8375
