prompt_idx,n_rounds,mean_accept_len,spec_tokens,spec_time_s
0,40,0.600,64,5.658
1,45,0.444,65,3.076
2,45,0.422,64,3.317
3,43,0.488,64,2.952
4,50,0.280,64,3.432
5,38,0.711,65,2.689
6,49,0.306,64,3.344
7,53,0.245,66,3.699
8,39,0.667,65,2.710
9,48,0.396,67,3.291
OVERALL,450,0.4400,648,34.169
