prompt_idx,n_positions,mean_accept_len
0,64,0.109375
1,64,0.03125
2,64,0.09375
3,64,0.09375
4,64,0.140625
5,64,0.09375
6,64,0.0625
7,64,0.0625
8,64,0.0625
9,64,0.15625
OVERALL,640,0.0906
NLL_MEAN,10,2.7134
PPL,10,15.0812
AGREE_FRAC,640,0.1688
MEAN_FIRST_DIV,10,9.8000
N_FP4,256,254
N_FP6,256,2
